note_str,instrument,pitch,velocity,n_frames
string_acoustic_000-040-025,string_acoustic_000,40,25,33
string_acoustic_000-040-050,string_acoustic_000,40,50,33
string_acoustic_000-040-075,string_acoustic_000,40,75,33
string_acoustic_000-040-100,string_acoustic_000,40,100,38
string_acoustic_000-040-127,string_acoustic_000,40,127,38
string_acoustic_002-040-025,string_acoustic_002,40,25,38
string_acoustic_002-040-050,string_acoustic_002,40,50,38
string_acoustic_002-040-075,string_acoustic_002,40,75,38
string_acoustic_002-040-100,string_acoustic_002,40,100,36
string_acoustic_002-040-127,string_acoustic_002,40,127,38
string_acoustic_005-040-025,string_acoustic_005,40,25,38
string_acoustic_005-040-050,string_acoustic_005,40,50,38
string_acoustic_005-040-075,string_acoustic_005,40,75,38
string_acoustic_005-040-100,string_acoustic_005,40,100,38
string_acoustic_005-040-127,string_acoustic_005,40,127,38
string_acoustic_007-040-025,string_acoustic_007,40,25,38
string_acoustic_007-040-050,string_acoustic_007,40,50,38
string_acoustic_007-040-075,string_acoustic_007,40,75,38
string_acoustic_007-040-100,string_acoustic_007,40,100,38
string_acoustic_007-040-127,string_acoustic_007,40,127,38
string_acoustic_008-040-025,string_acoustic_008,40,25,38
string_acoustic_008-040-050,string_acoustic_008,40,50,38
string_acoustic_008-040-075,string_acoustic_008,40,75,38
string_acoustic_008-040-100,string_acoustic_008,40,100,38
string_acoustic_008-040-127,string_acoustic_008,40,127,38
string_acoustic_010-040-025,string_acoustic_010,40,25,38
string_acoustic_010-040-050,string_acoustic_010,40,50,38
string_acoustic_010-040-075,string_acoustic_010,40,75,34
string_acoustic_010-040-100,string_acoustic_010,40,100,34
string_acoustic_011-040-025,string_acoustic_011,40,25,38
string_acoustic_011-040-050,string_acoustic_011,40,50,38
string_acoustic_011-040-075,string_acoustic_011,40,75,38
string_acoustic_011-040-100,string_acoustic_011,40,100,38
string_acoustic_011-040-127,string_acoustic_011,40,127,38
string_acoustic_013-040-025,string_acoustic_013,40,25,38
string_acoustic_013-040-050,string_acoustic_013,40,50,38
string_acoustic_013-040-075,string_acoustic_013,40,75,38
string_acoustic_013-040-100,string_acoustic_013,40,100,38
string_acoustic_013-040-127,string_acoustic_013,40,127,38
string_acoustic_015-040-025,string_acoustic_015,40,25,38
string_acoustic_015-040-050,string_acoustic_015,40,50,38
string_acoustic_015-040-075,string_acoustic_015,40,75,38
string_acoustic_015-040-100,string_acoustic_015,40,100,38
string_acoustic_015-040-127,string_acoustic_015,40,127,38
string_acoustic_016-040-025,string_acoustic_016,40,25,38
