clip_path,target_v,target_a,achieved_v,achieved_a,rating,loudness_gain,timestamp,rater
al_pool/pool_013.wav,-0.5877,1.0,-0.5877,1.0,-1.0,0.3334,2026-07-03T10:34:18.067648,R01
al_pool/pool_052.wav,-0.3821,-0.9582,-0.3821,-0.9582,1.0,0.4908,2026-07-03T10:34:25.993228,R01
al_pool/pool_074.wav,-1.0,-0.0702,-1.0,-0.0702,-1.0,0.2528,2026-07-03T10:34:33.188230,R01
al_pool/pool_083.wav,0.2442,-0.1267,0.2442,-0.1267,0.0,0.5591,2026-07-03T10:34:52.138918,R01
al_pool/pool_137.wav,-0.3666,0.2793,-0.3666,0.2793,-1.0,0.1341,2026-07-03T10:34:58.644664,R01
al_pool/pool_138.wav,-1.0,-0.8643,-1.0,-0.8643,-1.0,0.2786,2026-07-03T10:35:06.183103,R01
al_pool/pool_148.wav,-1.0,0.5125,-1.0,0.5125,-1.0,0.2331,2026-07-03T10:35:13.775498,R01
al_pool/pool_119.wav,-0.3805,-0.2719,-0.3805,-0.2719,1.0,0.281,2026-07-03T10:35:21.050112,R01
al_pool/pool_006.wav,-0.722,-0.5144,-0.722,-0.5144,-1.0,1.223,2026-07-03T10:35:28.603648,R01
al_pool/pool_002.wav,-1.0,1.0,-1.0,1.0,0.0,1.111,2026-07-03T10:35:35.968806,R01
al_pool/pool_072.wav,-0.4783,0.6403,-0.4783,0.6403,0.0,0.4408,2026-07-03T10:35:53.181755,R01
al_pool/pool_000.wav,-0.7446,0.2323,-0.7446,0.2323,0.0,0.1107,2026-07-03T10:36:01.226812,R01
al_pool/pool_014.wav,-0.6752,-0.106,-0.6752,-0.106,0.0,0.4422,2026-07-03T10:36:14.572040,R01
al_pool/pool_114.wav,-0.2545,1.0,-0.2545,1.0,-1.0,0.0669,2026-07-03T10:36:23.147919,R01
al_pool/pool_081.wav,-0.1781,0.5921,-0.1781,0.5921,0.0,0.6303,2026-07-03T10:36:30.147000,R01
al_pool/pool_018.wav,-0.095,-0.2954,-0.095,-0.2954,0.0,0.6424,2026-07-03T10:36:38.319305,R01
al_pool/pool_041.wav,-0.4322,-0.6718,-0.4322,-0.6718,-1.0,0.2129,2026-07-03T10:36:45.764690,R01
al_pool/pool_064.wav,-1.0,-0.3534,-1.0,-0.3534,-1.0,0.1227,2026-07-03T10:36:52.690079,R01
al_pool/pool_132.wav,-0.1657,0.1242,-0.1657,0.1242,0.0,0.3736,2026-07-03T10:37:00.772518,R01
al_pool/pool_004.wav,-0.7195,-0.8178,-0.7195,-0.8178,0.0,0.1007,2026-07-03T10:37:08.051824,R01
al_pool/pool_082.wav,-0.8694,0.761,-0.8694,0.761,1.0,0.1661,2026-07-03T10:37:14.667285,R01
al_pool/pool_100.wav,-1.0,0.2375,-1.0,0.2375,0.0,0.1513,2026-07-03T10:37:20.819164,R01
al_pool/pool_042.wav,-0.4227,0.0539,-0.4227,0.0539,1.0,0.5169,2026-07-03T10:37:27.038441,R01
al_pool/pool_068.wav,-0.6094,0.4325,-0.6094,0.4325,-1.0,0.1073,2026-07-03T10:37:33.161649,R01
al_pool/pool_036.wav,-0.6371,-0.3126,-0.6371,-0.3126,-1.0,0.3189,2026-07-03T10:37:39.832913,R01
al_pool/pool_040.wav,-0.3351,0.83,-0.3351,0.83,-1.0,0.1723,2026-07-03T10:37:48.117813,R01
al_pool/pool_146.wav,-0.8025,1.0,-0.8025,1.0,0.0,0.1838,2026-07-03T10:38:00.385713,R01
al_pool/pool_057.wav,-0.7256,0.6266,-0.7256,0.6266,0.0,0.1701,2026-07-03T10:38:08.753993,R01
al_pool/pool_029.wav,-0.6219,0.7888,-0.6219,0.7888,0.0,0.1194,2026-07-03T10:38:15.895155,R01
al_pool/pool_046.wav,-0.2381,0.4416,-0.2381,0.4416,0.0,0.8505,2026-07-03T10:38:21.334227,R01
al_pool/pool_084.wav,-0.8207,0.3809,-0.8207,0.3809,0.0,1.0537,2026-07-03T10:38:27.858925,R01
al_pool/pool_124.wav,-0.9449,-0.4675,-0.9449,-0.4675,-1.0,0.3187,2026-07-03T10:38:34.969394,R01
al_pool/pool_015.wav,-0.6131,-0.881,-0.6131,-0.881,0.0,1.4299,2026-07-03T10:38:42.594794,R01
al_pool/pool_050.wav,-0.8183,-0.1319,-0.8183,-0.1319,-1.0,0.5213,2026-07-03T10:38:48.990943,R01
al_pool/pool_131.wav,-1.0,0.7596,-1.0,0.7596,1.0,0.3175,2026-07-03T10:38:56.097387,R01
al_pool/pool_028.wav,-0.9009,0.1011,-0.9009,0.1011,-1.0,0.1507,2026-07-03T10:39:02.715462,R01
al_pool/pool_136.wav,-0.566,-0.5691,-0.566,-0.5691,0.0,0.2663,2026-07-03T10:39:09.767182,R01
al_pool/pool_110.wav,-0.5891,0.1789,-0.5891,0.1789,0.0,0.5219,2026-07-03T10:39:18.231105,R01
