variant,name,t0,t1,dur_s,bed
handset,drone_solo,0.0,35.35,35.35,off
handset,bed_bursts,35.35,58.96,23.6,bursts
handset,bed_duck,58.96,94.87,35.91,duck
handset,drone_solo,94.87,139.7,44.83,off
handset,bed_duck,139.7,183.94,44.24,duck
handset,drone_solo,183.94,226.54,42.61,off
handset,bed_duck,226.54,263.09,36.54,duck
handset,bed_bursts,263.09,290.67,27.58,bursts
handset,drone_solo,290.67,314.69,24.02,off
handset,bed_duck,314.69,346.81,32.12,duck
handset,drone_solo,346.81,389.32,42.51,off
handset,bed_duck,389.32,431.3,41.98,duck
handset,bed_bursts,431.3,475.34,44.04,bursts
handset,bed_duck,475.34,519.28,43.94,duck
handset,drone_solo,519.28,544.1,24.82,off
handset,bed_bursts,544.1,577.01,32.9,bursts
handset,drone_solo,577.01,600.0,22.99,off
corpus_dwell,drone_solo,0.0,71.8,71.8,off
corpus_dwell,bed_bursts,71.8,93.04,21.24,bursts
corpus_dwell,bed_duck,93.04,115.72,22.68,duck
corpus_dwell,drone_solo,115.72,219.48,103.76,off
corpus_dwell,bed_duck,219.48,244.21,24.73,duck
corpus_dwell,drone_solo,244.21,340.46,96.26,off
corpus_dwell,bed_duck,340.46,363.3,22.84,duck
corpus_dwell,bed_bursts,363.3,385.91,22.61,bursts
corpus_dwell,drone_solo,385.91,419.47,33.57,off
corpus_dwell,bed_duck,419.47,441.22,21.75,duck
corpus_dwell,drone_solo,441.22,537.16,95.94,off
corpus_dwell,bed_duck,537.16,561.33,24.17,duck
corpus_dwell,bed_bursts,561.33,589.6,28.27,bursts
corpus_dwell,bed_duck,589.6,600.0,10.4,duck
handset_gated_v0.9,drone_solo,0.0,35.35,35.35,off
handset_gated_v0.9,bed_duck,35.35,65.4,30.05,duck
handset_gated_v0.9,drone_solo,65.4,94.76,29.35,off
handset_gated_v0.9,bed_duck,94.76,148.72,53.97,duck
handset_gated_v0.9,drone_solo,148.72,185.21,36.49,off
handset_gated_v0.9,bed_duck,185.21,236.59,51.37,duck
handset_gated_v0.9,drone_solo,236.59,266.48,29.89,off
handset_gated_v0.9,bed_duck,266.48,302.09,35.61,duck
handset_gated_v0.9,drone_solo,302.09,326.11,24.02,off
handset_gated_v0.9,bed_duck,326.11,358.23,32.12,duck
handset_gated_v0.9,drone_solo,358.23,400.74,42.51,off
handset_gated_v0.9,bed_duck,400.74,442.72,41.98,duck
handset_gated_v0.9,drone_solo,442.72,491.57,48.85,off
handset_gated_v0.9,bed_duck,491.57,535.52,43.94,duck
handset_gated_v0.9,drone_solo,535.52,560.34,24.82,off
handset_gated_v0.9,bed_duck,560.34,600.0,39.66,duck
