timestamp,verdict,dataset,bed_type,bed_file,emo_v,emo_a,drone_clip,gain_db,bed_only,mode,duck_depth,burst_s,render_seq,comment
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
2026-07-19T22:20:43,no,emo,bells-church,r_1indicator103136_7037-hq.wav,-0.164056059,-0.065127782,vwander_031,-12.0,0,duck,0.7,3.0,4,this soundscape is too busy and difficult to find a drone to match it
2026-07-19T22:23:14,no,esc50,sea_waves,1-39901-B-11.wav,,,vwander_040,-12.0,0,bursts,0.7,3.0,11,the splashing is to loud
2026-07-19T23:05:48,keep,esc50,thunderstorm,2-39945-A-19.wav,,,vwander_061,-12.0,0,duck,0.55,4.5,11,this bed is good. but how long does it last for? I got bored of it by 20s
2026-07-19T23:07:20,no,esc50,engine,2-106486-A-44.wav,,,vwander_057,-12.0,0,duck,0.55,4.5,18,i think the original clip itself is too short to get looped
2026-07-19T23:30:38,keep,esc50,wind,1-51037-A-16.wav,,,vwander_053,-12.0,0,duck,0.55,4.5,23,"i dunno what soundscape it is, but it can work"
2026-07-19T23:33:55,no,emo,water-stream,r_0mechanical165696_354987-hq.wav,-0.779060181,0.784006595,vwander_041,-12.0,0,duck,0.55,4.5,39,"this ben has too much character. unless you have a deep and low subbase and use this soundscape as a feature, it is difficult to mux it in"
2026-07-21T22:39:15,keep,esc50,thunderstorm,4-161519-A-19.wav,,,vtrans_000,-12.0,1,constant,0.7,3.0,1,
2026-07-21T22:40:39,keep,esc50,thunderstorm,4-161519-A-19.wav,,,vtrans_000,-12.0,1,constant,0.7,3.0,2,
2026-07-21T22:40:59,no,esc50,engine,3-141240-A-44.wav,,,vtrans_000,-12.0,1,constant,0.7,3.0,3,
2026-07-21T22:41:14,keep,esc50,wind,2-205966-A-16.wav,,,vtrans_000,-12.0,1,constant,0.7,3.0,4,
2026-07-21T22:41:22,no,emo,water-stream,r_0indicator100046_1578278-hq.wav,-0.772464963,0.877988458,vtrans_000,-12.0,1,constant,0.7,3.0,5,
2026-07-21T22:41:43,no,esc50,church_bells,2-57191-A-46.wav,,,vtrans_000,-12.0,1,constant,0.7,3.0,6,
2026-07-21T22:41:54,no,esc50,footsteps,4-194981-A-25.wav,,,vtrans_000,-12.0,1,constant,0.7,3.0,7,
2026-07-21T22:42:08,keep,esc50,chirping_birds,2-72547-B-14.wav,,,vtrans_000,-12.0,1,constant,0.7,3.0,8,
2026-07-21T22:42:16,no,esc50,crackling_fire,2-30322-B-12.wav,,,vtrans_000,-12.0,1,constant,0.7,3.0,9,
2026-07-21T22:42:35,keep,esc50,thunderstorm,5-156999-B-19.wav,,,vtrans_000,-12.0,1,constant,0.7,3.0,10,
2026-07-21T22:42:48,keep,esc50,engine,5-240671-A-44.wav,,,vtrans_000,-12.0,1,constant,0.7,3.0,11,
2026-07-21T22:42:58,keep,esc50,wind,2-104952-A-16.wav,,,vtrans_000,-12.0,1,constant,0.7,3.0,12,
2026-07-21T22:43:04,no,esc50,pouring_water,5-205589-B-17.wav,,,vtrans_000,-12.0,1,constant,0.7,3.0,13,
