timestamp,rater,session_id,block,order_index,track_id,trajectory,chain,condition,stage,scheduled_s,elapsed_s,rating
2026-07-15T15:42:56,R15,8d3a4393,-1,-1,lt_practice,practice,,practice,probe1,15.0,18.9,-1.0
2026-07-15T15:43:15,R15,8d3a4393,-1,-1,lt_practice,practice,,practice,probe2,35.0,37.7,0.0
2026-07-15T15:43:42,R15,8d3a4393,-1,-1,lt_practice,practice,,practice,overall,60.0,64.9,0.0
2026-07-15T16:18:18,R14,17827099,-1,-1,lt_practice,practice,,practice,probe1,15.0,17.1,1.0
2026-07-15T16:18:38,R14,17827099,-1,-1,lt_practice,practice,,practice,probe2,35.0,36.9,0.0
2026-07-15T16:19:05,R14,17827099,-1,-1,lt_practice,practice,,practice,overall,60.0,63.4,1.0
2026-07-15T16:19:59,R14,17827099,0,0,lt_up_c1_arc_majend,up,1.0,arc_majend,probe1,40.0,44.0,-1.0
2026-07-15T16:20:30,R14,17827099,0,0,lt_up_c1_arc_majend,up,1.0,arc_majend,probe2,72.0,75.4,0.0
2026-07-15T16:21:11,R14,17827099,0,0,lt_up_c1_arc_majend,up,1.0,arc_majend,probe3,112.0,115.9,0.0
2026-07-15T16:21:20,R14,17827099,0,0,lt_up_c1_arc_majend,up,1.0,arc_majend,overall,120.0,125.5,0.0
2026-07-15T16:22:10,R14,17827099,0,1,lt_up_c2_noarc,up,2.0,noarc,probe1,42.0,45.2,0.0
2026-07-15T16:22:37,R14,17827099,0,1,lt_up_c2_noarc,up,2.0,noarc,probe2,70.0,72.1,-1.0
2026-07-15T16:23:19,R14,17827099,0,1,lt_up_c2_noarc,up,2.0,noarc,probe3,112.0,114.5,0.0
2026-07-15T16:23:28,R14,17827099,0,1,lt_up_c2_noarc,up,2.0,noarc,overall,120.0,122.9,0.0
2026-07-15T16:24:16,R14,17827099,0,2,lt_down_c1_arc_majend,down,1.0,arc_majend,probe1,40.0,43.1,0.0
2026-07-15T16:24:48,R14,17827099,0,2,lt_down_c1_arc_majend,down,1.0,arc_majend,probe2,72.0,75.3,0.0
2026-07-15T16:25:27,R14,17827099,0,2,lt_down_c1_arc_majend,down,1.0,arc_majend,probe3,112.0,114.1,0.0
2026-07-15T16:25:35,R14,17827099,0,2,lt_down_c1_arc_majend,down,1.0,arc_majend,overall,120.0,122.3,0.0
2026-07-15T16:26:25,R14,17827099,0,3,lt_down_c2_noarc,down,2.0,noarc,probe1,42.0,45.9,0.0
2026-07-15T16:26:51,R14,17827099,0,3,lt_down_c2_noarc,down,2.0,noarc,probe2,70.0,72.0,1.0
2026-07-15T16:27:34,R14,17827099,0,3,lt_down_c2_noarc,down,2.0,noarc,probe3,112.0,115.1,0.0
2026-07-15T16:27:41,R14,17827099,0,3,lt_down_c2_noarc,down,2.0,noarc,overall,120.0,122.3,1.0
2026-07-15T16:28:28,R14,17827099,0,4,lt_down_c0_arc_minend,down,0.0,arc_minend,probe1,40.0,43.5,0.0
2026-07-15T16:29:00,R14,17827099,0,4,lt_down_c0_arc_minend,down,0.0,arc_minend,probe2,72.0,74.9,-1.0
2026-07-15T16:29:39,R14,17827099,0,4,lt_down_c0_arc_minend,down,0.0,arc_minend,probe3,112.0,114.3,0.0
2026-07-15T16:29:48,R14,17827099,0,4,lt_down_c0_arc_minend,down,0.0,arc_minend,overall,120.0,123.4,0.0
2026-07-15T16:30:35,R14,17827099,0,5,lt_up_c0_arc_minend,up,0.0,arc_minend,probe1,40.0,42.6,-1.0
2026-07-15T16:31:08,R14,17827099,0,5,lt_up_c0_arc_minend,up,0.0,arc_minend,probe2,72.0,74.7,-1.0
2026-07-15T16:31:48,R14,17827099,0,5,lt_up_c0_arc_minend,up,0.0,arc_minend,probe3,112.0,114.8,-1.0
2026-07-15T16:31:56,R14,17827099,0,5,lt_up_c0_arc_minend,up,0.0,arc_minend,overall,120.0,122.9,-1.0
2026-07-18T22:00:37,R16,7373aba9,-1,-1,lt_practice,practice,,practice,probe1,15.0,20.4,1.0
2026-07-18T22:00:56,R16,7373aba9,-1,-1,lt_practice,practice,,practice,probe2,35.0,39.5,0.0
2026-07-18T22:01:23,R16,7373aba9,-1,-1,lt_practice,practice,,practice,overall,60.0,65.8,1.0
2026-07-18T22:02:12,R16,7373aba9,0,0,lt_down_c2_arc_majend,down,2.0,arc_majend,probe1,40.0,44.1,1.0
2026-07-18T22:02:44,R16,7373aba9,0,0,lt_down_c2_arc_majend,down,2.0,arc_majend,probe2,72.0,75.2,1.0
2026-07-18T22:03:23,R16,7373aba9,0,0,lt_down_c2_arc_majend,down,2.0,arc_majend,probe3,112.0,114.8,1.0
2026-07-18T22:03:32,R16,7373aba9,0,0,lt_down_c2_arc_majend,down,2.0,arc_majend,overall,120.0,123.3,1.0
2026-07-18T22:04:18,R16,7373aba9,0,1,lt_down_c1_arc_minend,down,1.0,arc_minend,probe1,40.0,43.8,0.0
2026-07-18T22:04:50,R16,7373aba9,0,1,lt_down_c1_arc_minend,down,1.0,arc_minend,probe2,72.0,75.4,0.0
2026-07-18T22:05:31,R16,7373aba9,0,1,lt_down_c1_arc_minend,down,1.0,arc_minend,probe3,112.0,116.8,-1.0
2026-07-18T22:05:39,R16,7373aba9,0,1,lt_down_c1_arc_minend,down,1.0,arc_minend,overall,120.0,124.4,0.0
2026-07-18T22:06:52,R17,46b40f2e,-1,-1,lt_practice,practice,,practice,probe1,15.0,18.1,1.0
2026-07-18T22:07:12,R17,46b40f2e,-1,-1,lt_practice,practice,,practice,probe2,35.0,38.0,-1.0
2026-07-18T22:07:38,R17,46b40f2e,-1,-1,lt_practice,practice,,practice,overall,60.0,64.1,1.0
2026-07-18T22:08:28,R17,46b40f2e,0,0,lt_up_c0_noarc,up,0.0,noarc,probe1,42.0,44.9,1.0
2026-07-18T22:08:56,R17,46b40f2e,0,0,lt_up_c0_noarc,up,0.0,noarc,probe2,70.0,72.9,-1.0
2026-07-18T22:09:39,R17,46b40f2e,0,0,lt_up_c0_noarc,up,0.0,noarc,probe3,112.0,115.8,1.0
2026-07-18T22:09:50,R17,46b40f2e,0,0,lt_up_c0_noarc,up,0.0,noarc,overall,120.0,126.7,1.0
2026-07-18T22:10:36,R17,46b40f2e,0,1,lt_up_c1_arc_minend,up,1.0,arc_minend,probe1,40.0,43.2,1.0
2026-07-18T22:11:09,R17,46b40f2e,0,1,lt_up_c1_arc_minend,up,1.0,arc_minend,probe2,72.0,75.9,0.0
2026-07-18T22:11:49,R17,46b40f2e,0,1,lt_up_c1_arc_minend,up,1.0,arc_minend,probe3,112.0,116.2,0.0
2026-07-18T22:11:56,R17,46b40f2e,0,1,lt_up_c1_arc_minend,up,1.0,arc_minend,overall,120.0,123.0,0.0
2026-07-18T22:12:40,R17,46b40f2e,0,2,lt_down_c1_arc_minend,down,1.0,arc_minend,probe1,40.0,41.9,1.0
2026-07-18T22:13:12,R17,46b40f2e,0,2,lt_down_c1_arc_minend,down,1.0,arc_minend,probe2,72.0,74.1,-1.0
2026-07-18T22:13:52,R17,46b40f2e,0,2,lt_down_c1_arc_minend,down,1.0,arc_minend,probe3,112.0,114.1,-1.0
2026-07-18T22:14:01,R17,46b40f2e,0,2,lt_down_c1_arc_minend,down,1.0,arc_minend,overall,120.0,122.6,0.0
2026-07-18T22:14:50,R17,46b40f2e,0,3,lt_down_c0_noarc,down,0.0,noarc,probe1,42.0,44.6,1.0
2026-07-18T22:15:20,R17,46b40f2e,0,3,lt_down_c0_noarc,down,0.0,noarc,probe2,70.0,73.7,1.0
2026-07-18T22:16:01,R17,46b40f2e,0,3,lt_down_c0_noarc,down,0.0,noarc,probe3,112.0,114.8,0.0
2026-07-18T22:16:08,R17,46b40f2e,0,3,lt_down_c0_noarc,down,0.0,noarc,overall,120.0,122.0,1.0
2026-07-18T22:16:55,R17,46b40f2e,0,4,lt_down_c2_arc_majend,down,2.0,arc_majend,probe1,40.0,44.0,1.0
2026-07-18T22:17:25,R17,46b40f2e,0,4,lt_down_c2_arc_majend,down,2.0,arc_majend,probe2,72.0,74.1,1.0
2026-07-18T22:18:05,R17,46b40f2e,0,4,lt_down_c2_arc_majend,down,2.0,arc_majend,probe3,112.0,113.8,1.0
2026-07-18T22:18:12,R17,46b40f2e,0,4,lt_down_c2_arc_majend,down,2.0,arc_majend,overall,120.0,121.1,1.0
2026-07-18T22:19:04,R17,46b40f2e,0,5,lt_up_c2_arc_majend,up,2.0,arc_majend,probe1,40.0,47.1,1.0
2026-07-18T22:19:31,R17,46b40f2e,0,5,lt_up_c2_arc_majend,up,2.0,arc_majend,probe2,72.0,74.9,-1.0
2026-07-18T22:20:11,R17,46b40f2e,0,5,lt_up_c2_arc_majend,up,2.0,arc_majend,probe3,112.0,114.6,0.0
2026-07-18T22:20:19,R17,46b40f2e,0,5,lt_up_c2_arc_majend,up,2.0,arc_majend,overall,120.0,122.2,0.0
