timestamp,rater,session_id,block,order_index,track_id,trajectory,chain,condition,stage,scheduled_s,elapsed_s,rating
2026-07-12T15:29:53,R12,d1f7e742,-1,-1,lt_practice,practice,,practice,probe1,15.0,17.5,1.0
2026-07-12T15:30:13,R12,d1f7e742,-1,-1,lt_practice,practice,,practice,probe2,35.0,36.9,-1.0
2026-07-12T15:30:41,R12,d1f7e742,-1,-1,lt_practice,practice,,practice,overall,60.0,65.0,0.0
2026-07-12T15:31:31,R12,d1f7e742,0,0,lt_down_c1_arc_majend,down,1.0,arc_majend,probe1,40.0,44.1,1.0
2026-07-12T15:32:01,R12,d1f7e742,0,0,lt_down_c1_arc_majend,down,1.0,arc_majend,probe2,72.0,73.9,-1.0
2026-07-12T15:32:42,R12,d1f7e742,0,0,lt_down_c1_arc_majend,down,1.0,arc_majend,probe3,112.0,114.4,-1.0
2026-07-12T15:32:50,R12,d1f7e742,0,0,lt_down_c1_arc_majend,down,1.0,arc_majend,overall,120.0,123.0,-1.0
2026-07-12T15:33:39,R12,d1f7e742,0,1,lt_up_c1_arc_majend,up,1.0,arc_majend,probe1,40.0,44.8,0.0
2026-07-12T15:34:09,R12,d1f7e742,0,1,lt_up_c1_arc_majend,up,1.0,arc_majend,probe2,72.0,75.1,1.0
2026-07-12T15:34:49,R12,d1f7e742,0,1,lt_up_c1_arc_majend,up,1.0,arc_majend,probe3,112.0,115.1,1.0
2026-07-12T15:34:56,R12,d1f7e742,0,1,lt_up_c1_arc_majend,up,1.0,arc_majend,overall,120.0,122.5,1.0
2026-07-12T15:35:54,R12,d1f7e742,0,2,lt_down_c2_noarc,down,2.0,noarc,probe1,42.0,47.5,0.0
2026-07-12T15:36:21,R12,d1f7e742,0,2,lt_down_c2_noarc,down,2.0,noarc,probe2,70.0,74.8,-1.0
2026-07-12T15:37:05,R12,d1f7e742,0,2,lt_down_c2_noarc,down,2.0,noarc,probe3,112.0,118.5,-1.0
2026-07-12T15:37:08,R12,d1f7e742,0,2,lt_down_c2_noarc,down,2.0,noarc,overall,120.0,121.7,-1.0
2026-07-12T15:38:08,R12,d1f7e742,0,3,lt_up_c0_arc_minend,up,0.0,arc_minend,probe1,40.0,53.5,-1.0
2026-07-12T15:38:30,R12,d1f7e742,0,3,lt_up_c0_arc_minend,up,0.0,arc_minend,probe2,72.0,75.7,-1.0
2026-07-12T15:39:10,R12,d1f7e742,0,3,lt_up_c0_arc_minend,up,0.0,arc_minend,probe3,112.0,115.1,0.0
2026-07-12T15:39:17,R12,d1f7e742,0,3,lt_up_c0_arc_minend,up,0.0,arc_minend,overall,120.0,122.2,0.0
2026-07-12T15:40:32,R12,d1f7e742,0,4,lt_down_c0_arc_minend,down,0.0,arc_minend,probe1,40.0,44.1,0.0
2026-07-12T15:41:04,R12,d1f7e742,0,4,lt_down_c0_arc_minend,down,0.0,arc_minend,probe2,72.0,75.3,-1.0
2026-07-12T15:41:47,R12,d1f7e742,0,4,lt_down_c0_arc_minend,down,0.0,arc_minend,probe3,112.0,118.9,-1.0
2026-07-12T15:41:50,R12,d1f7e742,0,4,lt_down_c0_arc_minend,down,0.0,arc_minend,overall,120.0,121.9,-1.0
2026-07-12T15:42:40,R12,d1f7e742,0,5,lt_up_c2_noarc,up,2.0,noarc,probe1,42.0,47.2,-1.0
2026-07-12T15:43:08,R12,d1f7e742,0,5,lt_up_c2_noarc,up,2.0,noarc,probe2,70.0,75.1,-1.0
2026-07-12T15:43:49,R12,d1f7e742,0,5,lt_up_c2_noarc,up,2.0,noarc,probe3,112.0,116.0,-1.0
2026-07-12T15:43:57,R12,d1f7e742,0,5,lt_up_c2_noarc,up,2.0,noarc,overall,120.0,123.5,-1.0
2026-07-12T15:56:03,R12,d1f7e742,1,0,lt_down_c1_arc_minend,down,1.0,arc_minend,probe1,40.0,47.3,1.0
2026-07-12T15:56:39,R12,d1f7e742,1,0,lt_down_c1_arc_minend,down,1.0,arc_minend,probe2,72.0,83.9,0.0
2026-07-12T15:57:13,R12,d1f7e742,1,0,lt_down_c1_arc_minend,down,1.0,arc_minend,probe3,112.0,117.7,0.0
2026-07-12T15:57:20,R12,d1f7e742,1,0,lt_down_c1_arc_minend,down,1.0,arc_minend,overall,120.0,125.0,1.0
2026-07-12T15:58:12,R12,d1f7e742,1,1,lt_down_c0_noarc,down,0.0,noarc,probe1,42.0,45.7,1.0
2026-07-12T15:58:42,R12,d1f7e742,1,1,lt_down_c0_noarc,down,0.0,noarc,probe2,70.0,76.2,-1.0
2026-07-12T15:59:22,R12,d1f7e742,1,1,lt_down_c0_noarc,down,0.0,noarc,probe3,112.0,115.7,0.0
2026-07-12T15:59:32,R12,d1f7e742,1,1,lt_down_c0_noarc,down,0.0,noarc,overall,120.0,126.4,0.0
2026-07-12T16:00:20,R12,d1f7e742,1,2,lt_up_c1_arc_minend,up,1.0,arc_minend,probe1,40.0,44.3,0.0
2026-07-12T16:00:51,R12,d1f7e742,1,2,lt_up_c1_arc_minend,up,1.0,arc_minend,probe2,72.0,75.8,-1.0
2026-07-12T16:01:31,R12,d1f7e742,1,2,lt_up_c1_arc_minend,up,1.0,arc_minend,probe3,112.0,115.1,-1.0
2026-07-12T16:01:39,R12,d1f7e742,1,2,lt_up_c1_arc_minend,up,1.0,arc_minend,overall,120.0,123.0,-1.0
2026-07-12T16:05:09,R12,d1f7e742,1,3,lt_up_c2_arc_majend,up,2.0,arc_majend,probe1,40.0,44.6,-1.0
2026-07-12T16:05:40,R12,d1f7e742,1,3,lt_up_c2_arc_majend,up,2.0,arc_majend,probe2,72.0,75.7,-1.0
2026-07-12T16:06:19,R12,d1f7e742,1,3,lt_up_c2_arc_majend,up,2.0,arc_majend,probe3,112.0,115.0,-1.0
2026-07-12T16:06:27,R12,d1f7e742,1,3,lt_up_c2_arc_majend,up,2.0,arc_majend,overall,120.0,123.2,-1.0
2026-07-12T16:07:37,R12,d1f7e742,1,4,lt_down_c2_arc_majend,down,2.0,arc_majend,probe1,40.0,48.8,-1.0
2026-07-12T16:08:04,R12,d1f7e742,1,4,lt_down_c2_arc_majend,down,2.0,arc_majend,probe2,72.0,75.5,1.0
2026-07-12T16:08:43,R12,d1f7e742,1,4,lt_down_c2_arc_majend,down,2.0,arc_majend,probe3,112.0,114.5,1.0
2026-07-12T16:08:50,R12,d1f7e742,1,4,lt_down_c2_arc_majend,down,2.0,arc_majend,overall,120.0,122.0,1.0
2026-07-12T16:09:42,R12,d1f7e742,1,5,lt_up_c0_noarc,up,0.0,noarc,probe1,42.0,46.7,0.0
2026-07-12T16:10:09,R12,d1f7e742,1,5,lt_up_c0_noarc,up,0.0,noarc,probe2,70.0,74.3,-1.0
2026-07-12T16:10:54,R12,d1f7e742,1,5,lt_up_c0_noarc,up,0.0,noarc,probe3,112.0,119.3,-1.0
2026-07-12T16:10:58,R12,d1f7e742,1,5,lt_up_c0_noarc,up,0.0,noarc,overall,120.0,123.2,-1.0
2026-07-12T16:12:14,R12,d1f7e742,2,0,lt_down_c2_arc_minend,down,2.0,arc_minend,probe1,40.0,50.4,0.0
2026-07-12T16:12:40,R12,d1f7e742,2,0,lt_down_c2_arc_minend,down,2.0,arc_minend,probe2,72.0,77.2,0.0
2026-07-12T16:13:20,R12,d1f7e742,2,0,lt_down_c2_arc_minend,down,2.0,arc_minend,probe3,112.0,117.0,0.0
2026-07-12T16:13:29,R12,d1f7e742,2,0,lt_down_c2_arc_minend,down,2.0,arc_minend,overall,120.0,126.1,0.0
2026-07-12T16:14:58,R12,d1f7e742,2,1,lt_up_c2_arc_minend,up,2.0,arc_minend,probe1,40.0,44.1,-1.0
2026-07-12T16:15:31,R12,d1f7e742,2,1,lt_up_c2_arc_minend,up,2.0,arc_minend,probe2,72.0,77.2,0.0
2026-07-12T16:16:10,R12,d1f7e742,2,1,lt_up_c2_arc_minend,up,2.0,arc_minend,probe3,112.0,116.2,0.0
2026-07-12T16:16:16,R12,d1f7e742,2,1,lt_up_c2_arc_minend,up,2.0,arc_minend,overall,120.0,122.6,-1.0
2026-07-12T16:17:08,R12,d1f7e742,2,2,lt_down_c0_arc_majend,down,0.0,arc_majend,probe1,40.0,45.5,1.0
2026-07-12T16:17:38,R12,d1f7e742,2,2,lt_down_c0_arc_majend,down,0.0,arc_majend,probe2,72.0,75.2,-1.0
2026-07-12T16:18:19,R12,d1f7e742,2,2,lt_down_c0_arc_majend,down,0.0,arc_majend,probe3,112.0,116.3,-1.0
2026-07-12T16:18:25,R12,d1f7e742,2,2,lt_down_c0_arc_majend,down,0.0,arc_majend,overall,120.0,122.0,-1.0
2026-07-12T16:19:15,R12,d1f7e742,2,3,lt_down_c1_noarc,down,1.0,noarc,probe1,42.0,46.3,-1.0
2026-07-12T16:19:54,R12,d1f7e742,2,3,lt_down_c1_noarc,down,1.0,noarc,probe2,70.0,85.3,1.0
2026-07-12T16:20:26,R12,d1f7e742,2,3,lt_down_c1_noarc,down,1.0,noarc,probe3,112.0,117.7,0.0
2026-07-12T16:20:34,R12,d1f7e742,2,3,lt_down_c1_noarc,down,1.0,noarc,overall,120.0,125.7,0.0
2026-07-12T16:21:23,R12,d1f7e742,2,4,lt_up_c0_arc_majend,up,0.0,arc_majend,probe1,40.0,44.3,0.0
2026-07-12T16:21:54,R12,d1f7e742,2,4,lt_up_c0_arc_majend,up,0.0,arc_majend,probe2,72.0,75.1,-1.0
2026-07-12T16:22:37,R12,d1f7e742,2,4,lt_up_c0_arc_majend,up,0.0,arc_majend,probe3,112.0,118.2,-1.0
2026-07-12T16:22:44,R12,d1f7e742,2,4,lt_up_c0_arc_majend,up,0.0,arc_majend,overall,120.0,125.7,-1.0
2026-07-12T16:23:36,R12,d1f7e742,2,5,lt_up_c1_noarc,up,1.0,noarc,probe1,42.0,49.4,0.0
2026-07-12T16:24:03,R12,d1f7e742,2,5,lt_up_c1_noarc,up,1.0,noarc,probe2,70.0,76.0,1.0
2026-07-12T16:24:41,R12,d1f7e742,2,5,lt_up_c1_noarc,up,1.0,noarc,probe3,112.0,114.1,-1.0
2026-07-12T16:24:49,R12,d1f7e742,2,5,lt_up_c1_noarc,up,1.0,noarc,overall,120.0,121.6,-1.0
2026-07-13T17:37:52,R13,71ec0df2,-1,-1,lt_practice,practice,,practice,probe1,15.0,20.9,1.0
2026-07-13T17:38:10,R13,71ec0df2,-1,-1,lt_practice,practice,,practice,probe2,35.0,39.2,-1.0
2026-07-13T17:38:36,R13,71ec0df2,-1,-1,lt_practice,practice,,practice,overall,60.0,65.3,0.0
2026-07-13T17:39:29,R13,71ec0df2,0,0,lt_up_c1_arc_minend,up,1.0,arc_minend,probe1,40.0,43.6,1.0
2026-07-13T17:40:01,R13,71ec0df2,0,0,lt_up_c1_arc_minend,up,1.0,arc_minend,probe2,72.0,76.0,0.0
2026-07-13T17:40:41,R13,71ec0df2,0,0,lt_up_c1_arc_minend,up,1.0,arc_minend,probe3,112.0,115.6,-1.0
2026-07-13T17:40:57,R13,71ec0df2,0,0,lt_up_c1_arc_minend,up,1.0,arc_minend,overall,120.0,132.0,0.0
2026-07-13T17:42:02,R13,71ec0df2,0,1,lt_down_c1_arc_minend,down,1.0,arc_minend,probe1,40.0,43.1,1.0
2026-07-13T17:43:36,R13,71ec0df2,0,1,lt_down_c1_arc_minend,down,1.0,arc_minend,probe2,72.0,137.1,1.0
2026-07-13T17:43:42,R13,71ec0df2,0,1,lt_down_c1_arc_minend,down,1.0,arc_minend,probe3,112.0,143.3,1.0
2026-07-13T17:43:50,R13,71ec0df2,0,1,lt_down_c1_arc_minend,down,1.0,arc_minend,overall,120.0,151.0,1.0
2026-07-13T17:44:41,R13,71ec0df2,0,2,lt_up_c0_noarc,up,0.0,noarc,probe1,42.0,46.7,0.0
2026-07-13T17:45:07,R13,71ec0df2,0,2,lt_up_c0_noarc,up,0.0,noarc,probe2,70.0,73.4,1.0
2026-07-13T17:46:01,R13,71ec0df2,0,2,lt_up_c0_noarc,up,0.0,noarc,probe3,112.0,126.6,-1.0
2026-07-13T17:46:03,R13,71ec0df2,0,2,lt_up_c0_noarc,up,0.0,noarc,overall,120.0,129.5,-1.0
2026-07-15T14:10:02,R14,3627db74,-1,-1,lt_practice,practice,,practice,probe1,15.0,17.8,1.0
