timestamp,rater,test,item_id,response,response2,elapsed_s,note,params
2026-08-13T23:02:34,rater_7895,reverb_clips,vtrans_028__long_bright,negative,yes,18.5,,"{""clip_id"": ""vtrans_028"", ""reverb"": ""long_bright""}"
2026-08-13T23:02:44,rater_7895,reverb_clips,vtrans_002__long_bright,positive,yes,10.46,,"{""clip_id"": ""vtrans_002"", ""reverb"": ""long_bright""}"
2026-08-13T23:02:56,rater_7895,reverb_clips,vtrans_002__dry,positive,yes,11.92,,"{""clip_id"": ""vtrans_002"", ""reverb"": ""dry""}"
2026-08-13T23:03:07,rater_7895,reverb_clips,vtrans_028__brutalism,negative,yes,10.7,,"{""clip_id"": ""vtrans_028"", ""reverb"": ""brutalism""}"
2026-08-13T23:03:20,rater_7895,reverb_clips,vtrans_028__stairwell,neutral,yes,12.5,,"{""clip_id"": ""vtrans_028"", ""reverb"": ""stairwell""}"
2026-08-13T23:03:30,rater_7895,reverb_clips,vwander_020__stairwell,positive,yes,10.34,,"{""clip_id"": ""vwander_020"", ""reverb"": ""stairwell""}"
2026-08-13T23:03:36,rater_7895,reverb_clips,vtrans_013__brutalism,negative,yes,6.27,,"{""clip_id"": ""vtrans_013"", ""reverb"": ""brutalism""}"
2026-08-13T23:03:50,rater_7895,reverb_clips,vwander_020__brutalism,neutral,yes,13.53,,"{""clip_id"": ""vwander_020"", ""reverb"": ""brutalism""}"
2026-08-13T23:04:03,rater_7895,reverb_clips,vwander_049__long_dark,negative,yes,13.68,,"{""clip_id"": ""vwander_049"", ""reverb"": ""long_dark""}"
2026-08-13T23:04:12,rater_7895,reverb_clips,vtrans_028__nature,negative,yes,8.61,,"{""clip_id"": ""vtrans_028"", ""reverb"": ""nature""}"
2026-08-13T23:04:23,rater_7895,reverb_clips,vtrans_028__dry,neutral,yes,11.16,,"{""clip_id"": ""vtrans_028"", ""reverb"": ""dry""}"
2026-08-13T23:04:33,rater_7895,reverb_clips,vwander_020__dry,positive,yes,9.65,,"{""clip_id"": ""vwander_020"", ""reverb"": ""dry""}"
2026-08-13T23:04:45,rater_7895,reverb_clips,vtrans_013__long_bright,negative,yes,12.25,,"{""clip_id"": ""vtrans_013"", ""reverb"": ""long_bright""}"
2026-08-13T23:04:58,rater_7895,reverb_clips,vwander_049__long_bright,neutral,yes,12.78,,"{""clip_id"": ""vwander_049"", ""reverb"": ""long_bright""}"
2026-08-13T23:05:09,rater_7895,reverb_clips,vwander_049__stairwell,positive,yes,10.96,,"{""clip_id"": ""vwander_049"", ""reverb"": ""stairwell""}"
2026-08-13T23:05:20,rater_7895,reverb_clips,vwander_049__dry,neutral,yes,11.66,,"{""clip_id"": ""vwander_049"", ""reverb"": ""dry""}"
2026-08-13T23:05:31,rater_7895,reverb_clips,vtrans_002__long_dark,positive,yes,10.27,,"{""clip_id"": ""vtrans_002"", ""reverb"": ""long_dark""}"
2026-08-13T23:05:42,rater_7895,reverb_clips,vwander_020__nature,neutral,yes,11.77,,"{""clip_id"": ""vwander_020"", ""reverb"": ""nature""}"
2026-08-13T23:05:52,rater_7895,reverb_clips,vwander_049__brutalism,negative,yes,9.63,,"{""clip_id"": ""vwander_049"", ""reverb"": ""brutalism""}"
2026-08-13T23:06:06,rater_7895,reverb_clips,vtrans_019__long_bright,positive,yes,13.74,,"{""clip_id"": ""vtrans_019"", ""reverb"": ""long_bright""}"
2026-08-13T23:06:17,rater_7895,reverb_clips,vwander_020__long_dark,positive,yes,11.33,,"{""clip_id"": ""vwander_020"", ""reverb"": ""long_dark""}"
2026-08-13T23:06:30,rater_7895,reverb_clips,vtrans_019__dry,negative,yes,13.08,,"{""clip_id"": ""vtrans_019"", ""reverb"": ""dry""}"
2026-08-13T23:06:38,rater_7895,reverb_clips,vtrans_002__brutalism,positive,yes,7.7,,"{""clip_id"": ""vtrans_002"", ""reverb"": ""brutalism""}"
2026-08-13T23:06:48,rater_7895,reverb_clips,vtrans_019__nature,negative,yes,9.68,,"{""clip_id"": ""vtrans_019"", ""reverb"": ""nature""}"
2026-08-13T23:06:58,rater_7895,reverb_clips,vwander_049__nature,neutral,yes,10.85,,"{""clip_id"": ""vwander_049"", ""reverb"": ""nature""}"
2026-08-13T23:07:10,rater_7895,reverb_clips,vtrans_028__long_dark,neutral,yes,11.99,,"{""clip_id"": ""vtrans_028"", ""reverb"": ""long_dark""}"
2026-08-13T23:07:22,rater_7895,reverb_clips,vtrans_019__long_dark,positive,yes,11.13,,"{""clip_id"": ""vtrans_019"", ""reverb"": ""long_dark""}"
2026-08-13T23:07:32,rater_7895,reverb_clips,vtrans_013__nature,positive,yes,10.47,,"{""clip_id"": ""vtrans_013"", ""reverb"": ""nature""}"
2026-08-13T23:07:43,rater_7895,reverb_clips,vtrans_019__brutalism,neutral,yes,10.98,,"{""clip_id"": ""vtrans_019"", ""reverb"": ""brutalism""}"
2026-08-13T23:07:53,rater_7895,reverb_clips,vtrans_013__dry,positive,yes,10.21,,"{""clip_id"": ""vtrans_013"", ""reverb"": ""dry""}"
2026-08-13T23:08:03,rater_7895,reverb_clips,vtrans_013__stairwell,positive,yes,9.98,,"{""clip_id"": ""vtrans_013"", ""reverb"": ""stairwell""}"
2026-08-13T23:08:16,rater_7895,reverb_clips,vwander_020__long_bright,positive,yes,12.35,,"{""clip_id"": ""vwander_020"", ""reverb"": ""long_bright""}"
2026-08-13T23:08:20,rater_7895,reverb_clips,vtrans_013__long_dark,negative,yes,4.88,,"{""clip_id"": ""vtrans_013"", ""reverb"": ""long_dark""}"
2026-08-13T23:08:31,rater_7895,reverb_clips,vtrans_002__stairwell,neutral,yes,10.11,,"{""clip_id"": ""vtrans_002"", ""reverb"": ""stairwell""}"
2026-08-13T23:08:39,rater_7895,reverb_clips,vtrans_019__stairwell,negative,yes,8.56,,"{""clip_id"": ""vtrans_019"", ""reverb"": ""stairwell""}"
2026-08-13T23:08:51,rater_7895,reverb_clips,vtrans_002__nature,neutral,yes,11.85,,"{""clip_id"": ""vtrans_002"", ""reverb"": ""nature""}"
2026-08-13T23:09:30,rater_7895,pairing,vtrans_002__L18__bells-church__r_1mechanical155859_179538-hq,negative,maybe,29.38,,"{""bed_id"": ""r_1mechanical155859_179538-hq"", ""bed_type"": ""bells-church"", ""bed_va"": [-0.986809563, 0.924154988], ""drone"": ""vtrans_002"", ""drone_va"": [-0.9009, 0.1011], ""level_db"": -18.0, ""va_gap"": 0.086, ""reverb"": ""long_bright""}"
2026-08-13T23:10:00,rater_7895,pairing,vtrans_002__L8__bells-church__r_1mechanical155859_179538-hq,negative,maybe,30.28,,"{""bed_id"": ""r_1mechanical155859_179538-hq"", ""bed_type"": ""bells-church"", ""bed_va"": [-0.986809563, 0.924154988], ""drone"": ""vtrans_002"", ""drone_va"": [-0.9009, 0.1011], ""level_db"": -8.0, ""va_gap"": 0.086, ""reverb"": ""long_bright""}"
2026-08-13T23:10:24,rater_7895,pairing,vtrans_002__L18__street-crowd__r_0society121787_2168040-hq,neutral,maybe,22.65,,"{""bed_id"": ""r_0society121787_2168040-hq"", ""bed_type"": ""street-crowd"", ""bed_va"": [-0.348722176, 0.104699093], ""drone"": ""vtrans_002"", ""drone_va"": [-0.9009, 0.1011], ""level_db"": -18.0, ""va_gap"": 0.552, ""reverb"": ""long_bright""}"
2026-08-13T23:10:55,rater_7895,pairing,vtrans_002__L8__street-crowd__r_0society121787_2168040-hq,negative,maybe,30.63,,"{""bed_id"": ""r_0society121787_2168040-hq"", ""bed_type"": ""street-crowd"", ""bed_va"": [-0.348722176, 0.104699093], ""drone"": ""vtrans_002"", ""drone_va"": [-0.9009, 0.1011], ""level_db"": -8.0, ""va_gap"": 0.552, ""reverb"": ""long_bright""}"
2026-08-13T23:11:21,rater_7895,pairing,vtrans_002__L18__water-stream__r_0nature149743_1050391-hq,negative,maybe,25.91,,"{""bed_id"": ""r_0nature149743_1050391-hq"", ""bed_type"": ""water-stream"", ""bed_va"": [0.251442704, 0.083264633], ""drone"": ""vtrans_002"", ""drone_va"": [-0.9009, 0.1011], ""level_db"": -18.0, ""va_gap"": 1.152, ""reverb"": ""long_bright""}"
2026-08-13T23:11:44,rater_7895,pairing,vtrans_002__L8__water-stream__r_0nature149743_1050391-hq,neutral,maybe,23.04,,"{""bed_id"": ""r_0nature149743_1050391-hq"", ""bed_type"": ""water-stream"", ""bed_va"": [0.251442704, 0.083264633], ""drone"": ""vtrans_002"", ""drone_va"": [-0.9009, 0.1011], ""level_db"": -8.0, ""va_gap"": 1.152, ""reverb"": ""long_bright""}"
2026-08-13T23:11:57,rater_7895,pairing,vtrans_002__L18__birds__r_0quiet324938_1648170-hq,positive,yes,13.19,,"{""bed_id"": ""r_0quiet324938_1648170-hq"", ""bed_type"": ""birds"", ""bed_va"": [0.902720528, -0.335531739], ""drone"": ""vtrans_002"", ""drone_va"": [-0.9009, 0.1011], ""level_db"": -18.0, ""va_gap"": 1.804, ""reverb"": ""long_bright""}"
2026-08-13T23:12:10,rater_7895,pairing,vtrans_002__L8__birds__r_0quiet324938_1648170-hq,positive,yes,12.97,,"{""bed_id"": ""r_0quiet324938_1648170-hq"", ""bed_type"": ""birds"", ""bed_va"": [0.902720528, -0.335531739], ""drone"": ""vtrans_002"", ""drone_va"": [-0.9009, 0.1011], ""level_db"": -8.0, ""va_gap"": 1.804, ""reverb"": ""long_bright""}"
2026-08-13T23:12:34,rater_7895,pairing,vtrans_004__L18__bells-church__r_1mechanical155859_179538-hq,positive,yes,24.58,,"{""bed_id"": ""r_1mechanical155859_179538-hq"", ""bed_type"": ""bells-church"", ""bed_va"": [-0.986809563, 0.924154988], ""drone"": ""vtrans_004"", ""drone_va"": [-0.8882, 1.0], ""level_db"": -18.0, ""va_gap"": 0.099, ""reverb"": ""long_bright""}"
2026-08-13T23:12:58,rater_7895,pairing,vtrans_004__L8__bells-church__r_1mechanical155859_179538-hq,negative,maybe,23.83,,"{""bed_id"": ""r_1mechanical155859_179538-hq"", ""bed_type"": ""bells-church"", ""bed_va"": [-0.986809563, 0.924154988], ""drone"": ""vtrans_004"", ""drone_va"": [-0.8882, 1.0], ""level_db"": -8.0, ""va_gap"": 0.099, ""reverb"": ""long_bright""}"
2026-08-13T23:13:13,rater_7895,pairing,vtrans_004__L18__street-crowd__r_0society121787_2168040-hq,positive,yes,14.35,,"{""bed_id"": ""r_0society121787_2168040-hq"", ""bed_type"": ""street-crowd"", ""bed_va"": [-0.348722176, 0.104699093], ""drone"": ""vtrans_004"", ""drone_va"": [-0.8882, 1.0], ""level_db"": -18.0, ""va_gap"": 0.539, ""reverb"": ""long_bright""}"
